<2016-10-04 16:20:01,915> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20160922/52018.html
<2016-10-04 16:20:02,265> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20160919/51994.html
<2016-10-04 16:20:02,526> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20160920/52002.html
<2016-10-04 16:20:02,892> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20160919/51993.html
<2016-10-04 16:20:03,117> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20160919/51994.html
<2016-10-04 16:20:03,523> ERROR/dytt_spider/getHomePageMovieDetail, Line:198: get url :http://www.ygdy8.net/html/gndy/dyzz/20160919/51993.html failed
<2016-10-04 16:20:03,767> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20160919/51993.html
<2016-10-04 16:20:04,486> ERROR/dytt_spider/getHomePageMovieDetail, Line:198: get url :http://www.ygdy8.net/html/gndy/dyzz/20160919/51993.html failed
<2016-10-04 16:20:05,303> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160930/52080.html
<2016-10-04 16:20:05,999> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160930/52079.html
<2016-10-04 16:20:06,651> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160929/52072.html
<2016-10-04 16:20:06,796> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160930/52080.html
<2016-10-04 16:20:07,302> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160929/52071.html
<2016-10-04 16:20:07,457> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160930/52079.html
<2016-10-04 16:20:21,575> WARNING/dytt_spider/getPage, Line:74: get page error reason: <urlopen error [Errno 11004] getaddrinfo failed>
<2016-10-04 16:20:21,719> WARNING/dytt_spider/getPage, Line:74: get page error reason: <urlopen error [Errno 11004] getaddrinfo failed>
<2016-10-04 16:20:23,957> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160929/52072.html
<2016-10-04 16:20:24,443> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160928/52065.html
<2016-10-04 16:20:24,868> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160929/52071.html
<2016-10-04 16:20:25,753> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160928/52065.html
<2016-10-04 16:20:25,977> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160927/52059.html
<2016-10-04 16:20:26,624> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160927/52059.html
<2016-10-04 16:20:26,910> ERROR/dytt_spider/getHomePageMovieDetail, Line:198: get url :http://www.ygdy8.net/html/gndy/jddy/20160927/52059.html failed
<2016-10-04 16:20:26,913> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160927/52058.html
<2016-10-04 16:20:27,486> ERROR/dytt_spider/getHomePageMovieDetail, Line:198: get url :http://www.ygdy8.net/html/gndy/jddy/20160927/52059.html failed
<2016-10-04 16:20:27,487> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160927/52058.html
<2016-10-04 16:20:27,776> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160926/52052.html
<2016-10-04 16:20:28,335> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160926/52052.html
<2016-10-04 16:20:28,625> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160926/52051.html
<2016-10-04 16:20:29,492> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160926/52050.html
<2016-10-04 16:20:31,348> WARNING/dytt_spider/getPage, Line:74: get page error reason: <urlopen error timed out>
<2016-10-04 16:20:31,552> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160925/52042.html
<2016-10-04 16:20:32,198> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160926/52051.html
<2016-10-04 16:20:32,434> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160923/52023.html
<2016-10-04 16:20:33,099> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160926/52050.html
<2016-10-04 16:20:33,309> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160922/52017.html
<2016-10-04 16:20:33,947> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160925/52042.html
<2016-10-04 16:20:34,243> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160921/52010.html
<2016-10-04 16:20:34,694> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160923/52023.html
<2016-10-04 16:20:34,875> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160921/52009.html
<2016-10-04 16:20:35,368> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/jddy/20160922/52017.html
<2016-10-04 16:20:35,584> ERROR/dytt_spider/getHomePageMovieDetail, Line:198: get url :http://www.ygdy8.net/html/gndy/jddy/20160921/52009.html failed
<2016-10-04 16:20:35,586> INFO/tool/getReleaseTime, Line:43: 2016-10-03
<2016-10-04 16:20:35,591> INFO/tool/getStarScore, Line:55: 7.2
<2016-10-04 16:20:35,594> INFO/tool/getMovieType, Line:65: 剧情/传记/犯罪
<2016-10-04 16:20:35,595> INFO/tool/getReleaseTime, Line:43: 2016-10-03
<2016-10-04 16:20:35,595> INFO/tool/getStarScore, Line:55: 7.2
<2016-10-04 16:20:35,595> INFO/tool/getMovieType, Line:65: 剧情/喜剧/动作
<2016-10-04 16:20:35,595> INFO/tool/getReleaseTime, Line:43: 2016-10-02
<2016-10-04 16:20:35,595> INFO/tool/getStarScore, Line:55: 8.0
<2016-10-04 16:20:35,596> INFO/tool/getMovieType, Line:65: 剧情/动画/奇幻
<2016-10-04 16:20:35,598> INFO/tool/getReleaseTime, Line:43: 2016-10-02
<2016-10-04 16:20:35,598> INFO/tool/getStarScore, Line:55: 6.4
<2016-10-04 16:20:35,598> INFO/tool/getMovieType, Line:65: 剧情/动作/犯罪
<2016-10-04 16:20:35,598> INFO/tool/getReleaseTime, Line:43: 2016-10-02
<2016-10-04 16:20:35,598> INFO/tool/getStarScore, Line:55: 7.7
<2016-10-04 16:20:35,599> INFO/tool/getMovieType, Line:65: 剧情/爱情/犯罪
<2016-10-04 16:20:35,599> INFO/tool/getReleaseTime, Line:43: 2016-09-29
<2016-10-04 16:20:35,601> INFO/tool/getStarScore, Line:55: 6.4
<2016-10-04 16:20:35,601> INFO/tool/getMovieType, Line:65: 奇幻/冒险
<2016-10-04 16:20:35,601> INFO/tool/getReleaseTime, Line:43: 2016-09-28
<2016-10-04 16:20:35,602> INFO/tool/getStarScore, Line:55: 5.5
<2016-10-04 16:20:35,602> INFO/tool/getMovieType, Line:65: 动作/喜剧/科幻
<2016-10-04 16:20:35,604> INFO/tool/getReleaseTime, Line:43: 2016-09-24
<2016-10-04 16:20:35,605> INFO/tool/getStarScore, Line:55: 5.5
<2016-10-04 16:20:35,605> INFO/tool/getMovieType, Line:65: 动作/喜剧/科幻
<2016-10-04 16:20:35,605> INFO/tool/getReleaseTime, Line:43: 2016-09-24
<2016-10-04 16:20:35,605> INFO/tool/getStarScore, Line:55: 7.1
<2016-10-04 16:20:35,607> INFO/tool/getMovieType, Line:65: 剧情/科幻/动画/奇幻/冒险
<2016-10-04 16:20:35,608> INFO/tool/getReleaseTime, Line:43: 2016-09-23
<2016-10-04 16:20:35,608> INFO/tool/getStarScore, Line:55: 7.8
<2016-10-04 16:20:35,608> INFO/tool/getMovieType, Line:65: 剧情/喜剧/冒险
<2016-10-04 16:20:35,608> INFO/tool/getReleaseTime, Line:43: 2016-09-23
<2016-10-04 16:20:35,609> INFO/tool/getStarScore, Line:55: 5.7
<2016-10-04 16:20:35,609> INFO/tool/getMovieType, Line:65: 喜剧/动作
<2016-10-04 16:20:35,611> INFO/tool/getReleaseTime, Line:43: 2016-09-22
<2016-10-04 16:20:35,611> INFO/tool/getStarScore, Line:55: 6.1
<2016-10-04 16:20:35,611> INFO/tool/getMovieType, Line:65: 动作/科幻/恐怖
<2016-10-04 16:20:35,611> INFO/tool/getReleaseTime, Line:43: 2016-09-20
<2016-10-04 16:20:35,612> INFO/tool/getMovieType, Line:65: 爱情
<2016-10-04 16:20:35,614> INFO/tool/getReleaseTime, Line:43: 2016-09-19
<2016-10-04 16:20:35,614> INFO/tool/getStarScore, Line:55: 6.4
<2016-10-04 16:20:35,614> INFO/tool/getMovieType, Line:65: 奇幻/冒险
<2016-10-04 16:20:35,615> INFO/tool/getReleaseTime, Line:43: 2016-09-30
<2016-10-04 16:20:35,615> INFO/tool/getStarScore, Line:55: 5.4
<2016-10-04 16:20:35,615> INFO/tool/getMovieType, Line:65: 动作
<2016-10-04 16:20:35,617> INFO/tool/getReleaseTime, Line:43: 2016-09-30
<2016-10-04 16:20:35,617> INFO/tool/getMovieType, Line:65: 悬疑/恐怖
<2016-10-04 16:20:35,618> INFO/tool/getReleaseTime, Line:43: 2016-09-29
<2016-10-04 16:20:35,618> INFO/tool/getStarScore, Line:55: 5.9
<2016-10-04 16:20:35,618> INFO/tool/getMovieType, Line:65: 喜剧/爱情
<2016-10-04 16:20:35,618> INFO/tool/getReleaseTime, Line:43: 2016-09-29
<2016-10-04 16:20:35,619> INFO/tool/getStarScore, Line:55: 6.0
<2016-10-04 16:20:35,619> INFO/tool/getMovieType, Line:65: 剧情/科幻
<2016-10-04 16:20:35,621> INFO/tool/getReleaseTime, Line:43: 2016-09-28
<2016-10-04 16:20:35,621> INFO/tool/getStarScore, Line:55: 4.0
<2016-10-04 16:20:35,621> INFO/tool/getMovieType, Line:65: 剧情/悬疑/恐怖
<2016-10-04 16:20:35,621> INFO/tool/getReleaseTime, Line:43: 2016-09-27
<2016-10-04 16:20:35,621> INFO/tool/getMovieType, Line:65: 爱情/悬疑/惊悚
<2016-10-04 16:20:35,622> INFO/tool/getReleaseTime, Line:43: 2016-09-26
<2016-10-04 16:20:35,624> INFO/tool/getStarScore, Line:55: 7.0
<2016-10-04 16:20:35,624> INFO/tool/getMovieType, Line:65: 剧情/喜剧/爱情
<2016-10-04 16:20:35,625> INFO/tool/getReleaseTime, Line:43: 2016-09-26
<2016-10-04 16:20:35,625> INFO/tool/getStarScore, Line:55: 4.2
<2016-10-04 16:20:35,625> INFO/tool/getMovieType, Line:65: 惊悚/恐怖
<2016-10-04 16:20:35,625> INFO/tool/getReleaseTime, Line:43: 2016-09-26
<2016-10-04 16:20:35,625> INFO/tool/getStarScore, Line:55: 7.0
<2016-10-04 16:20:35,627> INFO/tool/getMovieType, Line:65: 剧情/爱情
<2016-10-04 16:20:35,627> INFO/tool/getReleaseTime, Line:43: 2016-09-25
